,City,Cloudy,Country,Date,Hum,Lat,Lng,Temp,Wind
134,broome,20,GB,1573299254,93,52.47,1.45,46.99,8.05
135,namatanai,100,PG,1573299387,73,-3.66,152.44,84.2,7.81
136,buncrana,75,GB,1573299388,93,55.14,-7.45,46.4,4.7
137,guerrero negro,40,AR,1573299285,73,-24.19,-65.45,77.0,5.82
138,clyde river,40,NZ,1573299225,71,-45.19,169.32,54.0,4.68
139,bocas del toro,90,CU,1573299388,100,21.07,-76.27,71.6,3.36
140,bom jesus,0,ML,1573299389,14,14.95,-2.93,98.31,9.46
141,noumea,20,NC,1573299122,77,-22.28,166.46,75.99,2.24
142,makokou,51,GA,1573299389,44,0.56,12.85,92.14,4.54
143,zhanaozen,3,KZ,1573299389,31,43.35,52.85,59.29,5.26
144,ryotsu,75,JP,1573299390,93,38.08,138.43,55.4,1.12
145,siavonga,61,ZW,1573299390,36,-16.54,28.71,95.25,7.0
146,klaksvik,100,FO,1573299245,75,62.23,-6.59,41.0,20.8
147,marawi,76,PH,1573299297,82,8.0,124.29,81.0,4.0
148,naze,75,NG,1573299273,70,5.43,7.07,87.8,5.82
149,turukhansk,100,RU,1573299391,98,65.8,87.96,-13.06,6.38
150,kamenka,13,MD,1573299230,80,48.03,28.7,62.01,4.0
151,quelimane,40,MZ,1573299223,59,-17.88,36.89,91.4,19.46
152,san carlos,47,ML,1573299164,24,13.3,-4.9,97.23,2.75
153,richards bay,1,US,1573299283,100,46.84,-95.91,28.99,9.17
154,faanui,69,PF,1573299227,82,-16.48,-151.75,79.88,18.84
155,hasaki,75,JP,1573299263,66,35.73,140.83,53.6,8.05
156,alofi,7,NU,1573299232,88,-19.06,-169.92,73.4,8.05
157,houma,93,CN,1573299392,61,35.63,111.36,50.56,10.92
158,iqaluit,40,CA,1573299228,77,63.75,-68.52,1.4,6.93
159,kirakira,88,SB,1573299392,86,-10.46,161.92,74.86,4.92
160,luderitz,0,NA,1573299249,56,-26.65,15.16,73.4,13.87
161,gat,80,SN,1573299280,58,14.69,-16.54,82.4,14.99
162,antsirabe,38,MG,1573299393,29,-19.87,47.03,79.11,7.74
163,esperance,0,AU,1573299236,56,-33.86,121.89,71.6,10.29
164,luzhou,100,CN,1573299393,74,28.89,105.45,62.8,3.69
165,nago,49,IT,1573299394,71,45.88,10.89,57.99,11.41
166,yumen,0,CN,1573299394,33,40.29,97.04,39.02,15.37
167,nikolskoye,90,RU,1573299232,93,59.7,30.79,39.2,8.95
168,souillac,68,FR,1573299243,76,45.6,-0.6,52.0,11.41
169,nyagan,93,RU,1573299394,93,62.14,65.43,12.52,4.61
170,goderich,100,CA,1573299394,68,43.74,-81.71,36.0,3.0
171,mys shmidta,70,RU,1573299259,93,62.06,48.62,11.41,3.11
172,ipixuna,20,BR,1573299394,83,-1.76,-48.8,80.6,9.17
173,nipawin,90,CA,1573299395,85,53.36,-104.02,21.2,8.05
174,mgandu,21,TZ,1573299395,29,-5.96,34.11,88.2,13.24
175,srednekolymsk,100,RU,1573299297,96,67.46,153.71,0.52,9.73
176,carnarvon,100,ZA,1573299225,9,-30.97,22.13,85.37,13.09
177,talara,65,PE,1573299293,88,-4.58,-81.27,65.89,14.79
178,lavrentiya,100,RU,1573299258,96,65.58,-170.99,34.25,11.14
179,port-gentil,75,GA,1573299396,89,-0.72,8.78,84.2,12.75
180,portland,1,US,1573298825,79,43.66,-70.25,24.01,3.36
181,chivacoa,75,VE,1573299396,88,10.16,-68.9,73.4,5.82
182,abdulino,9,RU,1573299396,82,53.68,53.66,31.55,8.68
183,kapaa,1,US,1573299225,93,22.08,-159.32,69.8,6.93
184,antalya,0,TR,1573299397,41,36.9,30.69,78.8,8.05
185,perth,33,AU,1573299237,36,-31.95,115.86,82.4,5.82
186,bundaberg,0,AU,1573299397,12,-24.87,152.35,71.6,8.05
187,tadine,56,NC,1573299397,68,-21.55,167.88,71.55,4.43
188,kloulklubed,75,PW,1573299398,83,7.04,134.26,80.6,4.7
189,grindavik,75,IS,1573299255,93,63.84,-22.43,37.4,9.17
190,wanning,75,AT,1573299398,86,48.64,13.53,44.01,13.87
191,braganca paulista,98,BR,1573299398,59,-1.05,-46.77,87.22,5.73
192,dikson,33,RU,1573299222,97,73.51,80.55,-1.77,8.05
193,kampot,20,KH,1573299398,65,10.62,104.18,82.4,2.24
194,upernavik,100,GL,1573299238,72,72.79,-56.15,11.71,13.04
195,kudat,75,MY,1573299399,78,6.89,116.84,78.8,6.93
196,gambo,100,CF,1573299399,60,4.65,22.26,86.22,6.24
197,tuatapere,100,NZ,1573299231,96,-46.13,167.69,53.01,2.33
198,evensk,100,RU,1573299399,92,61.92,159.24,23.45,17.05
199,kruisfontein,100,ZA,1573299293,54,-34.0,24.73,68.88,22.37
200,cherskiy,26,RU,1573299232,87,68.75,161.3,3.2,5.46
201,avarua,93,CK,1573299227,83,-21.21,-159.78,73.4,5.82
202,waingapu,0,ID,1573299400,77,-9.65,120.26,83.17,15.95
203,itaueira,72,BR,1573299400,47,-7.6,-43.03,88.34,7.49
204,butaritari,100,KI,1573299223,68,3.07,172.79,84.13,6.96
205,beringovskiy,86,RU,1573299400,93,63.05,179.32,21.07,7.49
206,samfya,60,ZM,1573299400,18,-11.37,29.56,96.39,6.46
207,egvekinot,90,RU,1573299277,96,66.32,-179.17,13.77,1.7
208,ust-kulom,36,RU,1573299401,92,61.69,53.69,11.8,3.36
209,tres palos,20,IT,1573299401,86,46.32,11.1,57.0,2.39
210,mayumba,100,GA,1573299401,80,-3.44,10.65,82.51,16.02
211,emboscada,0,PY,1573299401,74,-25.13,-57.35,82.4,9.17
212,montepuez,69,MZ,1573299402,32,-13.13,39.0,92.57,4.43
213,hailey,1,US,1573299402,43,43.52,-114.32,32.0,11.41
214,linqiong,40,CN,1573299402,82,30.42,103.46,60.8,2.48
215,chapais,75,CA,1573299402,84,49.78,-74.86,3.2,5.82
216,sola,96,TZ,1573299274,33,-3.17,33.8,85.8,8.32
217,yulara,0,AU,1573299248,12,-25.24,130.99,78.8,8.05
218,mbeya,64,TZ,1573299403,51,-8.91,33.47,74.61,6.6
219,puerto del rosario,20,AR,1573299234,64,-51.62,-69.23,37.4,10.29
220,tuy hoa,75,PH,1573299403,78,14.02,120.73,82.4,3.36
221,vao,100,EE,1573299403,91,59.1,26.19,42.78,7.31
